Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000002|04/01/2023|Vente|1040000,00|221||RUE|0490|DE LAUSANNE|1220|DIVONNE-LES-BAINS|01|143||AE|632||||||||||||0|2|Appartement||108|4|S||216
|||||||000002|04/01/2023|Vente|1040000,00|221||RUE|0490|DE LAUSANNE|1220|DIVONNE-LES-BAINS|01|143||AE|632||||||||||||0|2|Appartement||149|5|S||216
|||||||000002|04/01/2023|Vente|1040000,00|221||RUE|0490|DE LAUSANNE|1220|DIVONNE-LES-BAINS|01|143||AE|632||||||||||||0|3|Dépendance||0|0|S||216
|||||||000001|06/01/2023|Vente|340000,00||||B034|LE MAS DES ANDRES|1700|SAINT-MAURICE-DE-BEYNOST|01|376||AB|191||||||||||||0||||||VI||905
|||||||000001|04/01/2023|Vente|440000,00|5079||RTE|0500|DE LYON|1390|SAINT-ANDRE-DE-CORCY|01|333||AT|5||||||||||||0|1|Maison||128|5|AG||2450
|||||||000001|04/01/2023|Vente|440000,00|5079||RTE|0500|DE LYON|1390|SAINT-ANDRE-DE-CORCY|01|333||AT|5||||||||||||0|1|Maison||128|5|S||989
|||||||000001|04/01/2023|Vente|1990000,00|264||RUE|0780|VOLTAIRE|1220|DIVONNE-LES-BAINS|01|143||AN|39||||||||||||0|3|Dépendance||0|0|S||2135
|||||||000001|04/01/2023|Vente|1990000,00|264||RUE|0780|VOLTAIRE|1220|DIVONNE-LES-BAINS|01|143||AN|39||||||||||||0|1|Maison||217|9|S||2135
|||||||000001|04/01/2023|Vente|1990000,00|264||RUE|0780|VOLTAIRE|1220|DIVONNE-LES-BAINS|01|143||AN|39||||||||||||0|3|Dépendance||0|0|S||2135
|||||||000001|04/01/2023|Vente|1990000,00|264||RUE|0780|VOLTAIRE|1220|DIVONNE-LES-BAINS|01|143||AN|39||||||||||||0|3|Dépendance||0|0|S||2135
|||||||000001|06/01/2023|Vente|13782,00||||B087|PRE POBEL|1370|BENY|01|38||ZE|3||||||||||||0||||||P||45794
|||||||000001|06/01/2023|Vente|13782,00||||B087|PRE POBEL|1370|BENY|01|38||ZE|6||||||||||||0||||||P||23116
|||||||000001|06/01/2023|Vente|1500,00||||B016|LA COMBE|1500|AMBUTRIX|01|8||A|353||||||||||||0||||||VI||750
|||||||000001|10/01/2023|Vente|20000,00|308||AV|0114|FRANCOIS MITTERRAND|1630|ST-GENIS-POUILLY|01|354||AY|92||82||||||||||1|3|Dépendance||0|0|||
|||||||000001|10/01/2023|Vente|20000,00|308||AV|0114|FRANCOIS MITTERRAND|1630|ST-GENIS-POUILLY|01|354||AY|92||83||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/01/2023|Vente|230000,00|28||RTE|0225|DU VILLAGE|1290|SAINT-ANDRE-D HUIRIAT|01|334||B|727||||||||||||0|1|Maison||94|5|S||448
|||||||000002|04/01/2023|Vente|1020,00||||B057|SOUS BASSEREINS|1990|CHANEINS|01|83||ZI|229||||||||||||0||||||S||30
|||||||000001|04/01/2023|Vente|165000,00|100||RUE|0100|DES ECOLES|1600|MISERIEUX|01|250||B|1136||||||||||||0|1|Maison||104|4|S||122
|||||||000001|12/01/2023|Vente|17000,00||||B362|SOUS LE BOIS|1100|OYONNAX|01|283|440|C|614||||||||||||0||||||P||269
|||||||000001|03/01/2023|Vente|369000,00|125||RTE|0440|DU PETIT CHANAL|1290|BIZIAT|01|46||A|1160||||||||||||0|1|Maison||130|5|S||500
|||||||000001|03/01/2023|Vente|369000,00|125||RTE|0440|DU PETIT CHANAL|1290|BIZIAT|01|46||A|1160||||||||||||0|1|Maison||130|5|AG||799
|||||||000002|04/01/2023|Vente|1,00||||B025|LA CULEE|1310|BUELLAS|01|65||A|1943||||||||||||0||||||S||23
|||||||000001|06/01/2023|Vente|240000,00||||B082|FEIGERES|1630|PERON|01|288||B|1400||||||||||||0||||||AB||458
|||||||000001|10/01/2023|Vente|82000,00||||B163|LA LEVEE|1750|REPLONGES|01|320||A|1819||4||||||||||1|2|Appartement||60|3|||
|||||||000001|10/01/2023|Vente|82000,00||||B163|LA LEVEE|1750|REPLONGES|01|320||A|1819||2||||||||||1|2|Appartement||50|2|||
|||||||000001|10/01/2023|Vente|47000,00||||B163|LA LEVEE|1750|REPLONGES|01|320||A|1819|2|||||||||||0||||||||
|||||||000001|03/01/2023|Vente|22500,00|19||RUE|0160|DU MAQUIS|1460|MONTREAL LA CLUSE|01|265||AI|499||||||||||||0|2|Appartement||40|2|S||106
|||||||000001|03/01/2023|Vente|22500,00|19||RUE|0160|DU MAQUIS|1460|MONTREAL LA CLUSE|01|265||AI|499||||||||||||0|3|Dépendance||0|0|S||106
|||||||000001|03/01/2023|Vente|22500,00|19||RUE|0160|DU MAQUIS|1460|MONTREAL LA CLUSE|01|265||AI|499||||||||||||0|4|Local industriel. commercial ou assimilé||76|0|S||106
|||||||000001|03/01/2023|Vente|22500,00|19||RUE|0160|DU MAQUIS|1460|MONTREAL LA CLUSE|01|265||AI|499||||||||||||0|2|Appartement||50|1|S||106
|||||||000001|03/01/2023|Vente|22500,00|19||RUE|0160|DU MAQUIS|1460|MONTREAL LA CLUSE|01|265||AI|499||||||||||||0|3|Dépendance||0|0|S||106
